"","(Intercept)","log(mean_Max_depth)","mean_coral_cover","mean_Surface_Area","precentage","Site","log(mean_Max_depth):mean_Surface_Area","mean_coral_cover:precentage","df","logLik","AICc","delta","weight"
"1",1.19205014016752,-0.246604164780788,NA,NA,NA,"+",NA,NA,6,27.2774507569217,-40.0094469683888,0,0.0658738004133573
"2",0.990097454451678,-0.195732009703228,NA,NA,0.00184268684512357,"+",NA,NA,7,28.6413087423587,-39.7826174847174,0.226829483671374,0.0588108319523904
"3",1.25765857721057,-0.225699117966376,-0.00312753638509093,NA,NA,"+",NA,NA,7,28.2810939603039,-39.0621879206077,0.947259047781081,0.0410221134096419
"4",1.05705437870331,-0.175769717393532,-0.00307714836283163,NA,0.0018207381253948,"+",NA,NA,8,29.682192990283,-38.7192246902435,1.29022227814531,0.034557674661745
"5",1.07438724785143,NA,-0.0122456243367873,NA,-0.00254372910046426,"+",NA,0.000140880087313123,8,29.5725725828042,-38.4999838752859,1.5094630931029,0.0309696982333594
"6",1.26806846833255,-0.147121955176326,-0.0101923068994456,NA,-0.00227798765409083,"+",NA,0.000116314749265135,9,31.0254159965165,-38.0508319930329,1.95861497535591,0.0247402954470795
"7",0.633895739686756,NA,NA,NA,0.00270223737704649,"+",NA,NA,6,26.256193278311,-37.9669320111675,2.04251495722129,0.0237239080474887
"8",0.760208231782833,NA,-0.00376319500584434,NA,0.00256818695357295,"+",NA,NA,7,27.6875943758173,-37.8751887516347,2.13425821675413,0.022660236405646
"9",1.68064846435325,-0.537954680527845,NA,-0.0222791548285426,NA,"+",0.0128992162172922,NA,8,29.2486701479514,-37.8521790055801,2.15726796280867,0.022401027206609
"10",1.22456591190294,-0.2477771299064,NA,-0.001642593915308,NA,"+",NA,NA,7,27.6109818155843,-37.7219636311686,2.28748333722022,0.0209890133716391
