Site,year,knoll,Max depth,Min depth,Max delta,Min delta,Projected area,Surface Area
Katza,2020,1,6.5,4.8,5.1,3.5,14.0167125,28.99922353
Katza,2020,2,5,3.2,5.7,3,13.427775,31.59483164
Katza,2020,3,5.1,3.8,4.7,3.3,12.1792275,26.05985036
Katza,2020,4,4.2,2.6,4.5,2.9,10.2475125,22.26536013
Katza,2020,5,3.7,2.6,1.8,1.3,1.837485,5.640465037
Katza,2020,6,3,0.7,5.2,4.2,17.14986,36.23699688
Katza,2020,7,3.6,1.9,3.2,2.9,7.28712,16.39486324
Katza,2020,8,2.2,1.1,4.6,2.5,9.030375,18.36681647
Katza,2020,9,2.4,0.8,4,3.4,10.6794,25.62244598
Katza,2020,10,2.4,1.1,2.5,2.5,4.9078125,12.37285072
Katza,2020,11,3.9,1.6,4.8,3.7,13.94604,32.36050949
Katza,2020,12,4.2,2.6,3,2.3,5.418225,13.81798983
Katza,2020,14,3.8,2.5,2.2,2.2,3.80061,9.641499422
Katza,2020,15,3.3,1.7,3.8,2.4,7.16148,22.17695667
Katza,2020,16,2.4,0.7,2.8,2.1,4.61727,15.31665612
Katza,2020,17,2.5,1.4,1.8,1.5,2.120175,5.375658456
Katza,2020,18,2.9,2,1.9,1.8,2.685555,6.589201024
Katza,2020,19,7.7,5.3,3.5,3.45,9.48189375,24.79592995
Katza,2020,20,7.2,5.7,4.8,4.5,16.9614,35.85471369
Katza,2020,21,4.6,3.9,1.5,1.3,1.5312375,3.294244347
Katza,2020,22,6.8,5.3,4.3,3.7,12.4933275,24.09008872
Katza,2020,23,8.8,4.3,3.9,2.6,7.962435,18.39103323
Katza,2020,24,4.3,3,6.4,3,15.0768,33.54708292
NR,2020,1,4.7,2.8,6.5,6,30.62475,52.08413728
NR,2020,2,5.4,4.3,2.7,2.5,5.3004375,11.39603752
NR,2020,3,6.4,4.3,3.6,2.9,8.19801,20.27783245
NR,2020,4,4.2,3.1,2,1.6,2.5128,5.449924051
NR,2020,5,8.5,6.8,5.4,2.8,11.87298,25.54170308
NR,2020,7,6.7,4.7,3.8,3,8.95185,21.66519423
NR,2020,8,8.9,6.7,6.2,5,24.34275,37.73348076
NR,2020,9,8.4,6.9,3,2.3,5.418225,12.50396275
NR,2020,10,6.4,4.6,4.4,4,13.8204,35.06456369
NR,2020,11,5.4,3.4,4.6,4.5,16.254675,36.68934711
NR,2020,12,4.5,2.4,5,4.4,17.2755,33.20265272
NR,2020,13,4.5,3.2,5.2,3.2,13.06656,22.15312756
NR,2020,14,4.4,2.7,5.5,3.6,15.54795,27.80470522
NR,2020,15,4.1,1.7,5.7,4.3,19.2464775,38.23264944
NR,2020,16,10,7.1,5.9,5.5,25.4813625,39.37045973
NR,2020,17,8,5.4,5.6,4.4,19.34856,40.18660368
NR,2020,18,7.3,5.6,2.6,2.1,4.287465,11.45142633
Caves,2020,1,3.6,2.4,2.8,1.8,3.95766,9.588052594
Caves,2020,2,4.7,3,3.4,3.3,8.810505,17.06290782
Caves,2020,3,4.9,3.5,2.8,2.3,5.05701,10.77041154
Caves,2020,4,3.6,2.6,3.4,2.6,6.94161,12.16115525
Caves,2020,5,2.5,1.5,3.1,2,4.86855,7.862036429
Caves,2020,6,4.4,3.1,3.8,2.6,7.75827,14.42999803
Caves,2020,7,5.2,3.8,4.4,4,13.8204,25.27519852
Caves,2020,8,5.4,4.2,3.9,2.5,7.6561875,15.07731366
Caves,2020,9,2.9,1.6,3.9,1.5,4.5937125,9.241540606
Caves,2020,10,3.5,2.6,3.6,2.6,7.34994,13.30832197
Caves,2020,11,2.9,1.2,3.2,2.2,5.52816,12.38358567
Caves,2020,12,4.6,2.9,3.6,2.4,6.78456,16.41833237
Caves,2020,13,4.9,3.8,2.3,1.8,3.250935,7.844040154
Caves,2020,14,5.1,3.6,1.6,1.4,1.75896,6.046704819
Caves,2020,15,5.3,3.7,5.4,3.2,13.56912,23.01963071
Caves,2020,16,4.3,2.5,6.1,2.8,13.41207,25.72052176
Caves,2020,17,3.4,2.3,3.2,2.7,6.78456,11.58001161
Princess,2020,1,2.8,0.7,4.4,4,13.8204,28.26388144
Princess,2020,2,3.7,1.9,2.7,1.8,3.816315,11.71723464
Princess,2020,3,4.2,2.7,3.2,2.6,6.53328,15.89705123
Princess,2020,4,4.6,1.8,5,3.4,13.34925,32.86411123
Princess,2020,5,5.5,4.2,3.4,2,5.3397,10.35213638
Princess,2020,6,4.2,2.7,2.1,1.9,3.1331475,8.026423204
Princess,2020,7,5.7,4.2,2.6,1.9,3.879135,11.32319127
Princess,2020,8,4.3,2.9,2.4,1.9,3.58074,8.515436981
Princess,2020,9,5.4,3.4,2.8,2.5,5.49675,14.57469754
Princess,2020,10,3.8,2.4,1.7,2.6,3.470805,8.194431678
Princess,2020,11,3.6,1.4,3.8,3.8,11.33901,25.42965628
Princess,2020,12,3.9,2.1,3.7,2.3,6.6824775,16.06908212
Princess,2020,13,4.5,3.2,2,2,3.141,7.654619318
Princess,2020,14,4.1,2.9,2.9,1.6,3.64356,7.852525241
Princess,2020,15,3.9,1.9,3.3,2.9,7.5148425,19.23593433
Princess,2020,16,4,3,1.9,1.7,2.5363575,5.97247329
Princess,2020,17,5,1.9,4.9,5,19.238625,45.24738918
Princess,2020,18,2.9,1.8,2.2,1.9,3.282345,7.010211623
Princess,2020,19,3.2,2.3,2.3,2,3.61215,8.140985296
Princess,2020,20,5.5,4.5,2.2,1.5,2.591325,5.333290823
Princess,2020,21,7.3,6.4,1.6,1.2,1.50768,3.484763839
