Knoll,Site,DD_X,DD_Y,ITM_X,ITM_Y
1,Katza,34.934934,29.523809,193322.3511,381814.6335
2,Katza,34.934562,29.523951,193286.3058,381830.4716
3,Katza,34.933968,29.52376,193228.688,381809.4452
4,Katza,34.933692,29.523826,193201.9271,381816.8181
5,Katza,34.933506,29.523717,193183.9044,381804.803
6,Katza,34.933343,29.523687,193168.0663,381801.5261
7,Katza,34.933423,29.523476,193175.7123,381778.0421
8,Katza,34.932747,29.523208,193110.1754,381748.5505
9,Katza,34.932573,29.523058,193093.2451,381731.8932
10,Katza,34.932503,29.522969,193086.4183,381722.0627
11,Katza,34.932726,29.522807,193107.9909,381704.04
12,Katza,34.932678,29.522737,193103.3487,381696.3941
14,Katza,34.932477,29.522642,193083.79,381685.8126
15,Katza,34.932318,29.522587,193068.4298,381679.8392
16,Katza,34.932318,29.522818,193068.4298,381705.4395
17,Katza,34.934105,29.524285,193242.0855,381867.575
18,Katza,34.933617,29.524007,193194.7248,381836.8546
19,Katza,34.934539,29.523412,193283.8994,381770.7204
20,Katza,34.934099,29.523338,193241.2321,381762.6136
21,Katza,34.934049,29.523734,193236.5387,381806.5609
22,Katza,34.93384,29.523145,193216.0585,381741.28
23,Katza,34.933668,29.523094,193199.4182,381735.7333
24,Katza,34.933391,29.523098,193172.5379,381736.1599
1,NR,34.9244,29.510935,192297.6595,380390.0824
2,NR,34.924577,29.510887,192314.8171,380384.7172
3,NR,34.924638,29.510723,192320.6794,380366.4404
4,NR,34.924123,29.510698,192270.7935,380363.8793
5,NR,34.924712,29.510428,192327.7529,380333.7754
6,NR,34.924001,29.510329,192258.8628,380322.9174
7,NR,34.924228,29.509929,192280.7357,380278.5753
8,NR,34.924184,29.509539,192276.3929,380235.3626
9,NR,34.924093,29.509431,192267.4847,380223.4001
10,NR,34.92343,29.508892,192203.0911,380163.8424
11,NR,34.923309,29.508874,192191.3832,380161.8063
12,NR,34.92394,29.510232,192252.8498,380312.2276
13,NR,34.923901,29.510091,192249.032,380296.5746
14,NR,34.923846,29.509987,192243.6871,380285.1212
15,NR,34.923967,29.510414,192255.5528,380332.4161
16,NR,34.925009,29.510687,192356.6705,380362.4209
17,NR,34.925163,29.511089,192371.7107,380406.9091
1,Caves,34.912525,29.49761,191142.6137,378915.8732
2,Caves,34.911974,29.497439,191089.0787,378896.9926
3,Caves,34.911831,29.497453,191075.217,378898.6655
4,Caves,34.911604,29.497531,191053.2295,378907.2694
5,Caves,34.911264,29.497538,191020.2481,378908.2254
6,Caves,34.911256,29.497446,191019.5311,378897.9486
7,Caves,34.911264,29.497299,191020.2481,378881.6969
8,Caves,34.911215,29.497243,191015.4682,378875.483
9,Caves,34.911005,29.497398,190995.1536,378892.6907
10,Caves,34.910966,29.497342,190991.3297,378886.4768
11,Caves,34.91083,29.497283,190978.185,378880.0239
12,Caves,34.910939,29.497182,190988.7008,378868.7911
13,Caves,34.91088,29.49707,190982.9649,378856.3634
14,Caves,34.910841,29.497009,190979.141,378849.6715
15,Caves,34.911698,29.497421,191062.3113,378895.0806
16,Caves,34.911978,29.497497,191089.5567,378903.4455
17,Caves,34.911567,29.497546,191049.6445,378908.9423
1,Princess,34.906953,29.494776,190601.4505,378603.1251
2,Princess,34.906895,29.494565,190595.8172,378579.7346
3,Princess,34.906811,29.494335,190587.6121,378554.2622
4,Princess,34.906752,29.494216,190581.8564,378541.0362
5,Princess,34.906851,29.494175,190591.4085,378536.505
6,Princess,34.906657,29.494168,190572.5491,378535.7703
7,Princess,34.906558,29.493886,190562.8745,378504.5421
8,Princess,34.906217,29.493711,190529.7996,378485.2418
9,Princess,34.90624,29.493626,190531.9942,378475.8367
10,Princess,34.906102,29.493586,190518.5918,378471.3692
11,Princess,34.906049,29.493522,190513.4189,378464.3153
12,Princess,34.905871,29.493339,190496.132,378444.0452
13,Princess,34.906754,29.494265,190581.9984,378546.5323
14,Princess,34.906936,29.494551,190599.7188,378578.1943
15,Princess,34.906588,29.494154,190565.9038,378534.2438
16,Princess,34.906537,29.494071,190560.9455,378524.9876
17,Princess,34.906218,29.493566,190529.8063,378469.0888
18,Princess,34.906902,29.494654,190596.4935,378589.6163
19,Princess,34.906993,29.494684,190605.3696,378592.8865
20,Princess,34.907057,29.494511,190611.4427,378573.7329
21,Princess,34.90708,29.494438,190613.6617,378565.5576
