Species,Family
Labrid spp. ,Labridae
Canthigaster spp.,Tetraodontidae
Acanthurus spp.,Acanthuridae
Plagiotremus spp.,Blenniidae
Scaridae spp.,Scaridae
Balistidae spp.,Balistidae
Serranidae spp.,Serranidae
Ostracion spp.,Ostraciidae
Thalassoma spp.,Labridae
Synodontidae spp.,Synodontidae
Caesio spp.,Caesionidae 
Cheilodipterus spp.,Apogonidae
Apogon spp.,Apogonidae
Pseudanthias spp.,Serranidae
Pinguipedidae spp.,Pinguipedidae
Muraenidae spp.,Muraenidae
Diodon spp.,Diodontidae
Lethrinus spp.,Lethrinidae
Syngnathidae spp.,Syngnathidae
Mullidae spp. ,Mullidae
Pomacanthus spp.,Pomacentridae
Siganus  spp.,Siganidae
Amblyglyphidodon spp.,Pomacentridae
Sargocentron spp.,Holocentridae
Heniochus spp.,Chaetodontidae
Chromis spp.,Pomacentridae
Monacanthidae spp. ,Monacanthidae
Mugilidae spp.,Mugilidae
Pseudochromis spp.,Pseudochromidae
Abudefduf spp.,Pomacentridae
Plectroglyphidodon spp.,Pomacentridae
Arothron spp.,Tetraodontidae
Torpedo spp.,Torpedinidae
Gobiidae spp.,Gobiidae
Scorpaenopsis spp.,Scorpaenidae
Halichoeres spp.,Labridae
Stethojulis spp.,Labridae
Anampses spp.,Labridae
Scarus spp.,Scaridae
Goby spp.,Gobiidae
Callionymus sp.,Callionymidae
Tripterygiidae sp.,Tripterygiidae
Haliophis sp.,Pseudochromidae
